store,demand
3,7106824.52347132
4,4376654.04567126
5,5327519.61493395
9,6108177.15522836
16,6307633.0000256
18,9090130.01033023
19,10839299.9660328
20,5316443.2392989
24,5199570.60891643
27,4692177.30533387
30,5208712.89293181
33,7418998.91253773
35,6948661.42085107
37,3488625.90652005
38,4317889.47342839
39,5161145.28872554
42,13041105.5328551
43,5356686.62009702
46,7205819.06323929
50,3396604.8501403
51,8024692.45839244
53,3966660.93562729
55,4041884.53915258
59,10517903.1982672
60,3973989.62773249
62,6279602.21841672
64,5242868.9254815
65,4056313.40778434
70,18841573.9106437
71,5266332.94924063
79,7835378.2181213
81,3218200.12366987
82,10289404.5909361
87,4157285.76224325
89,6762204.83528614
90,6261450.57112432
91,9740923.50309629
95,4184334.15292366
100,4308571.20879923
101,7108052.39267484
106,5215989.71747443
109,4201189.16516493
111,27929150.3746258
112,4647211.64479831
117,4349041.72087191
120,4333497.89152425
121,26299438.6844311
131,15119816.7699822
132,4193634.08838442
133,4200248.15328378
134,6178284.16597037
136,9794682.28998706
137,12908608.9303445
140,5516167.71179453
141,15197920.0828557
142,3188828.24793836
143,14441184.9424392
148,14301366.9885372
152,5242868.9254815
154,5017784.27104852
158,4710002.78941042
161,26048641.994949
162,20696664.8680861
163,6190694.00487881
164,7288581.8671323
166,8241366.93308355
167,2836332.58345691
168,7014428.11973614
170,6592475.47439077
171,5160821.51545851
172,8051011.48699326
174,5200845.41195916
175,8062605.7183721
176,9407744.18658967
177,9616479.77650865
182,6778432.04871706
183,7613369.69745222
184,10026804.120118
185,9467324.47945784
187,7425727.1128759
188,23515246.7279734
189,3867314.50917399
191,10012185.7539078
192,5242868.9254815
193,14341052.3030649
194,8994506.64472449
195,17407618.6636676
198,9906856.47147573
199,5134015.59173875
200,10641902.384227
201,8203052.14812954
202,5321964.39124655
203,7502661.23610062
206,7206552.89470871
207,8450917.23365577
208,5144206.58638498
209,13720889.1376254
210,9997346.9826515
211,11791907.9959055
213,16426711.0497444
214,4335321.37173613
217,5733843.32432681
218,9917999.77856154
219,3305376.4822961
221,7819949.15022187
222,12109981.1852859
224,14402654.1954047
225,7066120.65519458
227,3369379.93943911
229,9329492.13112088
231,8153161.22505874
234,9897376.88904417
236,14761100.6213195
237,4387764.12628132
238,6725435.60039316
239,20777146.7401104
241,11246389.394459
246,8774347.38090947
247,8284778.96001063
251,17733150.8820636
253,9548642.21131006
254,4001096.47080572
255,4921537.48336823
257,502244.392992488
258,6078656.96690352
259,9196712.38487394
261,12902856.9144228
263,8767251.46042087
266,6231252.51581353
269,12920441.5148339
270,2788445.5170086
271,8531101.31454934
272,8427183.15794752
279,9906816.8133742
280,6875202.19326731
281,9845984.04748232
282,20638398.5102288
288,9502288.11385806
289,12434321.2578156
291,11981159.2452495
293,8427183.15794752
295,10887935.9885747
297,5914509.46971593
